Domain Accession	Domain name	Count	Proteins	Accession proteins
IPR020946	Flavin monooxygenase-like	2	['FMO1', 'FMO1']	['P38866', 'P38866']
IPR040707	Phosphoribosylformylglycinamidine synthase, N-terminal	1	['ADE6']	['P38972']
IPR041609	Phosphoribosylformylglycinamidine synthase, linker domain	1	['ADE6']	['P38972']
IPR031395	Protein Sop4	1	['SOP4']	['P39543']
IPR025752	High pH protein family	2	['FRT2', 'FRT1']	['P39734', 'Q99332']
IPR015878	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	1	['SAH1']	['P39954']
IPR004572	Protoporphyrinogen oxidase	1	['HEM14']	['P40012']
IPR040746	THO1_MOS11, C-terminal domain	1	['THO1']	['P40040']
IPR025481	Cell morphogenesis protein C-terminal	1	['TAO3']	['P40468']
IPR025614	Cell morphogenesis protein N-terminal	1	['TAO3']	['P40468']
IPR029473	Cell morphogenesis central region	3	['TAO3', 'TAO3', 'TAO3']	['P40468', 'P40468', 'P40468']
IPR004342	EXS, C-terminal	2	['SYG1', 'ERD1']	['P40528', 'P16151']
IPR024316	Nuclear pore assembly and biogenesis protein, APQ12	1	['APQ12']	['P40532']
IPR012589	Plasma membrane ATPase proteolipid	2	['PMP2', 'PMP1']	['P40975', 'P32903']
IPR001209	Small ribosomal subunit protein uS14	3	['RPS29A', 'RPS29B', 'MRP2']	['P41057', 'P41058', 'P10663']
IPR001087	GDSL lipase/esterase	1	['IAH1']	['P41734']
IPR052410	Dynein regulatory complex subunit 5	1	['MHP1']	['P43638']
IPR005326	Plectin/eS10, N-terminal	2	['RPS10B', 'RPS10A']	['P46784', 'Q08745']
IPR009450	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	1	['GPI2']	['P46961']
IPR019412	Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39	2	['IML2', '[]']	['P47031', 'P36114']
IPR048517	DENR, N-terminal domain	1	['TMA22']	['P47089']
IPR007365	Transferrin receptor-like, dimerisation domain	3	['VPS70', 'TRE2', 'TRE1']	['P47161', 'Q08693', 'Q08919']
IPR000743	Glycoside hydrolase, family 28	1	['PGU1']	['P47180']
IPR045462	Aminoacyl-tRNA synthetase, class I, anticodon-binding	1	['MSE1']	['P48525']
IPR007557	PSP1, C-terminal	2	['PSP1', '[]']	['P50896', 'Q06251']
IPR009445	ER membrane protein complex subunit 4	1	['EMC4']	['P53073']
IPR016071	Staphylococcal nuclease (SNase-like), OB-fold	1	['LCL3']	['P53153']
IPR013877	YAP-binding/ALF4/Glomulin	2	['YBP2', 'YBP1']	['P53169', 'P38315']
IPR005579	Cgr1-like	1	['CGR1']	['P53188']
IPR027499	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial	1	['GTF1']	['P53260']
IPR045315	Mitochondrial carrier protein Mtm1-like	1	['MTM1']	['P53320']
IPR025279	Stress response protein NST1	1	['NST1']	['P53935']
IPR051195	Fungal stress response NST1	1	['NST1']	['P53935']
IPR021100	N-glycosylation protein EOS1	1	['EOS1']	['P53938']
IPR000967	Zinc finger, NF-X1-type	8	['FAP1', 'FAP1', 'FAP1', 'FAP1', 'FAP1', 'FAP1', 'FAP1', 'FAP1']	['P53971', 'P53971', 'P53971', 'P53971', 'P53971', 'P53971', 'P53971', 'P53971']
IPR001374	R3H domain	2	['FAP1', 'RBS1']	['P53971', 'Q05672']
IPR013528	Hydroxymethylglutaryl-coenzyme A synthase, N-terminal	1	['ERG13']	['P54839']
IPR013746	Hydroxymethylglutaryl-coenzyme A synthase, C-terminal domain	1	['ERG13']	['P54839']
IPR000965	GPR domain	1	['PRO2']	['P54885']
IPR010760	DNA repair protein, Swi5	1	['SAE3']	['P89114']
IPR004521	Uncharacterised domain CHP00451	1	['TMA20']	['P89886']
IPR041366	Pre-PUA domain	2	['TMA20', 'TMA64']	['P89886', 'Q04600']
IPR007244	-alpha-acetyltransferase 35, NatC auxiliary subunit	1	['MAK10']	['Q02197']
IPR013752	Ketopantoate reductase, C-terminal domain	5	['SVL3', 'CBS2', 'PAM1', 'PAN5', '[]']	['Q03088', 'P14905', 'P37304', 'P38787', 'Q07589']
IPR049629	DPY30/SDC1, dimerization/docking domain	1	['SDC1']	['Q03323']
IPR003675	Type II CAAX prenyl endopeptidase Rce1-like	1	['RCE1']	['Q03530']
IPR039731	CAAX prenyl protease 2, eukaryotes	1	['RCE1']	['Q03530']
IPR016806	COP9 signalosome complex, subunit 9, fungi	1	['CSN9']	['Q03981']
IPR024253	Phosducin, thioredoxin-like domain	1	['PLP1']	['Q04004']
IPR008839	Mitochondrial distribution and morphology family 33, fungi	1	['SHE9']	['Q04172']
IPR013935	TRAPP II complex, Trs120	1	['TRS120']	['Q04183']
IPR028071	Macro-like domain	1	['[]']	['Q04299']
IPR015158	Bud22 domain	1	['BUD22']	['Q04347']
IPR002156	Ribonuclease H domain	1	['RNH1']	['Q04740']
IPR011320	Ribonuclease H1, N-terminal	2	['RNH1', 'RNH1']	['Q04740', 'Q04740']
IPR037470	Protein IVY1	1	['IVY1']	['Q04934']
IPR027998	Respiration factor 1	1	['RSF1']	['Q05043']
IPR049044	RIF2, ASCE domain	1	['RIF2']	['Q06208']
IPR049045	RIF2, AAA+ lid domain	1	['RIF2']	['Q06208']
IPR034455	Biogenesis of lysosome-related organelles complex 1, subunit CNL1	1	['CNL1']	['Q06333']
IPR003864	CSC1/OSCA1-like, 7TM region	4	['CSC1', 'SPO75', 'RSN1', 'PHM7']	['Q06538', 'Q07798', 'Q03516', 'Q12252']
IPR027815	CSC1/OSCA1-like, cytosolic domain	3	['CSC1', 'RSN1', 'PHM7']	['Q06538', 'Q03516', 'Q12252']
IPR032880	CSC1/OSCA1-like, N-terminal transmembrane domain	4	['CSC1', 'SPO75', 'RSN1', 'PHM7']	['Q06538', 'Q07798', 'Q03516', 'Q12252']
IPR009286	Inositol-pentakisphosphate 2-kinase	2	['IPK1', 'IPK1']	['Q06667', 'Q06667']
IPR052616	Nuclear Import and Ribosome Assembly Adapter	1	['SYO1']	['Q07395']
IPR005031	Coenzyme Q-binding protein COQ10, START domain	1	['COQ10']	['Q08058']
IPR013262	Outer membrane protein, MIM1/TOM13, mitochondrial	1	['MIM1']	['Q08176']
IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	4	['FDH1', '[]', '[]', 'FDH2']	['Q08911', 'P53100', 'Q02961', 'P0CF35']
IPR006571	TLDc domain	2	['OXR1', 'RTC5']	['Q08952', 'Q12108']
IPR003603	U2A'/phosphoprotein 32 family A, C-terminal	1	['LEA1']	['Q08963']
IPR019413	DSC E3 ubiquitin ligase complex subunit 3, ubiquitin-like domain	1	['DSC3']	['Q12015']
IPR025390	DSC E3 ubiquitin ligase complex subunit 3, C-terminal	1	['DSC3']	['Q12015']
IPR049014	Transcriptional protein SWT1, C-terminal domain	1	['SWT1']	['Q12104']
IPR013950	Kinetochore Mis14/Nsl1	1	['NSL1']	['Q12143']
IPR007303	TIP41-like protein	1	['TIP41']	['Q12199']
IPR051330	Phosphatase regulators and Met sulfoxide reductases	1	['TIP41']	['Q12199']
IPR008011	Complex 1 LYR protein domain	2	['SDH6', 'ISD11']	['Q3E785', 'Q6Q560']
IPR018552	Centromere protein X	1	['MHF2']	['Q3E829']
IPR029003	CENP-S/Mhf1	1	['MHF1']	['Q3E835']
IPR009653	Protein kish	1	['KSH1']	['Q8TGJ3']
IPR051523	KISH domain-containing protein	1	['KSH1']	['Q8TGJ3']
IPR003204	Cytochrome c oxidase, subunit Va/VI	1	['COX6']	['P00427']
IPR009230	ATP synthase protein 8, fungal type	1	['ATP8']	['P00856']
IPR029419	Argininosuccinate lyase, C-terminal	1	['ARG4']	['P04076']
IPR000511	Holocytochrome c/c1 synthase	2	['CYC3', 'CYT2']	['P06182', 'Q00873']
IPR001499	GPCR fungal pheromone mating factor, STE3	1	['STE3']	['P06783']
IPR033709	Isoleucyl tRNA synthetase type 2, anticodon-binding domain	1	['ILS1']	['P09436']
IPR000711	ATPase, OSCP/delta subunit	1	['ATP5']	['P09457']
IPR023573	Large ribosomal subunit protein eL20 domain	2	['RPL20A', 'RPL20B']	['P0CX23', 'P0CX24']
IPR001272	Phosphoenolpyruvate carboxykinase, ATP-utilising	1	['PCK1']	['P10963']
IPR005122	Uracil-DNA glycosylase-like	1	['UNG1']	['P12887']
IPR004467	Orotate phosphoribosyl transferase domain	2	['URA5', 'URA10']	['P13298', 'P30402']
IPR002500	Phosphoadenosine phosphosulphate reductase	2	['MET16', 'FAD1']	['P18408', 'P38913']
IPR051959	PAK1 Kinase Regulator	1	['MAK11']	['P20484']
IPR011419	ATP12, ATP synthase F1-assembly protein	1	['ATP12']	['P22135']
IPR001748	Pre-mRNA-splicing factor BUD31	1	['BUD31']	['P25337']
IPR000409	BEACH domain	1	['BPH1']	['P25356']
IPR023362	PH-BEACH domain	1	['BPH1']	['P25356']
IPR000742	EGF-like domain	1	['ADP1']	['P25371']
IPR002049	Laminin-type EGF domain	1	['ADP1']	['P25371']
IPR005036	CBM21 (carbohydrate binding type-21) domain	4	['GAC1', 'GIP2', 'PIG2', 'PIG1']	['P28006', 'P40036', 'P40187', 'Q06216']
IPR025888	Meiosis-specific protein MEI4	1	['MEI4']	['P29467']
IPR044136	Lysine-tRNA ligase, class II, N-terminal	1	['MSK1']	['P32048']
IPR004098	Prp18	1	['PRP18']	['P33411']
IPR007287	Sof1-like protein	1	['SOF1']	['P33750']
IPR001130	3'-5' ssDNA/RNA exonuclease TatD-like	2	['[]', '[]']	['P34220', 'P38430']
IPR002833	Peptidyl-tRNA hydrolase, PTH2	1	['PTH2']	['P34222']
IPR012955	CASP, C-terminal	1	['COY1']	['P34237']
IPR006639	Presenilin/signal peptide peptidase	1	['[]']	['P34248']
IPR007369	Peptidase A22B, signal peptide peptidase	1	['[]']	['P34248']
IPR013641	Protein KTI12/L-seryl-tRNA(Sec) kinase	1	['KTI12']	['P34253']
IPR025715	Chromatin target of PRMT1 protein, C-terminal	1	['YRA2']	['P36036']
IPR007074	LicD/FKTN/FKRP, nucleotidyltransferase domain	2	['MNN4', '[]']	['P36044', 'P40355']
IPR007808	Transcription elongation factor 1	1	['ELF1']	['P36053']
IPR029188	Ribosomal RNA-processing protein 14, N-terminal	1	['RRP14']	['P36080']
IPR029190	Ribosomal RNA-processing protein 14/surfeit locus protein 6, C-terminal domain	1	['RRP14']	['P36080']
IPR006886	DNA-directed RNA polymerase III subunit Rpc5	1	['RPC37']	['P36121']
IPR027794	tRNase Z endonuclease	1	['TRZ1']	['P36159']
IPR010729	Large ribosomal subunit protein uL29m, mitochondrial	1	['MRPL4']	['P36517']
IPR013870	Large ribosomal subunit protein mL54	1	['MRPL37']	['P36532']
IPR049562	Solute carrier family 25 member 33/36-like	1	['RIM2']	['P38127']
IPR016805	Intermembrane space protein MIX23, fungal	1	['MIX23']	['P38162']
IPR031488	GATOR2 complex protein MIO, zinc-ribbon like domain	1	['SEA4']	['P38164']
IPR049092	MIOS-like, alpha-solenoid domain	1	['SEA4']	['P38164']
IPR016509	Factor-induced gene 1 protein	1	['FIG1']	['P38224']
IPR031370	Altered inheritance of mitochondria protein 3	1	['AIM3']	['P38266']
IPR001674	GMP synthase, C-terminal	1	['GUA1']	['P38625']
IPR004739	GMP synthase, glutamine amidotransferase	1	['GUA1']	['P38625']
IPR007193	Up-frameshift suppressor 2, C-terminal	1	['NMD2']	['P38798']
IPR037654	Protein Big1	1	['BIG1']	['P38813']
IPR018607	Chromosome transmission fidelity protein 8	1	['CTF8']	['P38877']
IPR008564	Golgi apparatus membrane protein TVP23-like	1	['TVP23']	['P38962']
IPR003210	Signal recognition particle, SRP14 subunit	1	['SRP14']	['P38985']
IPR053042	Mitochondrial GTP/GDP Carrier	1	['GGC1']	['P38988']
IPR040144	Rap1 GTPase-GDP dissociation stimulator 1	1	['BEM4']	['P39011']
IPR029208	Cytochrome c oxidase assembly protein COX14	1	['COX14']	['P39103']
IPR026241	GLC7-interacting protein 4	7	['GIP4', 'GIP4', 'GIP4', 'GIP4', 'GIP4', 'GIP4', 'GIP4']	['P39732', 'P39732', 'P39732', 'P39732', 'P39732', 'P39732', 'P39732']
IPR001648	Small ribosomal subunit protein bS18	1	['RSM18']	['P40033']
IPR022554	Respiratory growth induced protein 1	2	['RGI1', 'RGI2']	['P40043', 'P40188']
IPR007865	Aminopeptidase P, N-terminal	2	['ICP55', '[]']	['P40051', 'P43590']
IPR008010	Tapt1 family	1	['EMP65']	['P40085']
IPR002698	5-formyltetrahydrofolate cyclo-ligase	1	['FAU1']	['P40099']
IPR006880	INO80 complex subunit B-like conserved region	1	['IES2']	['P40154']
IPR004089	Methyl-accepting chemotaxis protein (MCP) signalling domain	1	['CSS1']	['P40442']
IPR014807	Cytochrome c oxidase assembly factor 1	1	['COA1']	['P40452']
IPR042432	Cytochrome c oxidase assembly factor 1, fungi	1	['COA1']	['P40452']
IPR007009	Shq1, C-terminal domain	1	['SHQ1']	['P40486']
IPR019185	Integral membrane protein SYS1-related	1	['SYS1']	['P41544']
IPR017423	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	1	['GCD10']	['P41814']
IPR020598	Ribosomal RNA adenine methylase transferase, N-terminal	1	['DIM1']	['P41819']
IPR038014	Ino80 subunit 1	1	['IES1']	['P43579']
IPR014844	PalH/RIM21	2	['RIM21', 'DFG16']	['P48565', 'Q99234']
IPR024660	UNC-45/Cro1/She4, central domain	1	['SHE4']	['P51534']
IPR013743	Nap binding NBP1, fungi	2	['NBP1', '[]']	['P52919', 'Q06616']
IPR053806	MTHFR, SAM-binding regulatory domain	2	['MET13', 'MET12']	['P53128', 'P46151']
IPR037379	WDR74/Nsa1	1	['NSA1']	['P53136']
IPR010776	Homologous-pairing protein 2, winged helix domain	1	['HOP2']	['P53187']
IPR007949	SDA1, middle domain	1	['SDA1']	['P53313']
IPR012977	SDA1, N-terminal	1	['SDA1']	['P53313']
IPR048292	SDA1, C-terminal domain	1	['SDA1']	['P53313']
IPR005679	Ribosomal protein uS12, bacterial-type	1	['MRPS12']	['P53732']
IPR032678	tRNA synthetases class I, catalytic domain	1	['[]']	['P53852']
IPR024758	Inheritance of peroxisomes protein 1	1	['INP1']	['Q03694']
IPR019473	Transcription factor TFIID, subunit 8, C-terminal	1	['TAF8']	['Q03750']
IPR013714	Golgi apparatus membrane protein TVP15	1	['TVP15']	['Q03860']
IPR004567	Type II pantothenate kinase	1	['CAB1']	['Q04430']
IPR031361	Spindle pole body component Kre28	1	['KRE28']	['Q04431']
IPR007224	Transcription initiation factor Rrn11	1	['RRN11']	['Q04712']
IPR016850	Transcription initiation factor Rrn11, budding yeast	1	['RRN11']	['Q04712']
IPR016833	Putative sodium bile acid cotransporter	2	['RCH1', '[]']	['Q05131', 'Q3E796']
IPR002190	MAGE homology domain	1	['NSE3']	['Q05541']
IPR019024	Ribonuclease H2 subunit B, wHTH domain	1	['RNH202']	['Q05635']
IPR041195	Rnh202, triple barrel domain	1	['RNH202']	['Q05635']
IPR019409	FMP27, sixth RBG unit	2	['FMP27', 'HOB2']	['Q06179', 'Q06116']
IPR019415	FMP27, SW motif-containing RBG unit	2	['FMP27', 'HOB2']	['Q06179', 'Q06116']
IPR019439	FMP27/BLTP2, N-terminal	1	['FMP27']	['Q06179']
IPR019441	FMP27/BLTP2/Hobbit, GFWDK motif-containing RBG unit	2	['FMP27', 'HOB2']	['Q06179', 'Q06116']
IPR019443	BLTP2/FMP27/Hobbit, C-terminal	3	['FMP27', 'FMP27', 'HOB2']	['Q06179', 'Q06179', 'Q06116']
IPR019449	FMP27, WPPW motif-containing RBG unit	2	['FMP27', 'HOB2']	['Q06179', 'Q06116']
IPR012459	Ribosomal RNA-processing protein 15	1	['RRP15']	['Q06511']
IPR030847	Mitochondrial glycine transporter Hem25/SLC25A38	1	['HEM25']	['Q07534']
IPR035323	Facilitator of iron transport 2	1	['FIT2']	['Q08906']
IPR004600	TFIIH subunit Tfb4/GTF2H3	1	['TFB4']	['Q12004']
IPR014810	Fcf2 pre-rRNA processing, C-terminal	1	['FCF2']	['Q12035']
IPR018819	Nur1/Mug154	1	['NUR1']	['Q12066']
IPR032190	Niemann-Pick C1, N-terminal	1	['NCR1']	['Q12200']
IPR013665	Sfi1 spindle body	1	['SFI1']	['Q12369']
IPR018907	Spindle body associated protein, C-terminal domain	1	['SFI1']	['Q12369']
IPR019183	N-alpha-acetyltransferase 25, NatB auxiliary subunit	1	['MDM20']	['Q12387']
IPR019481	Transcription factor TFIIIC, triple barrel domain	1	['TFC7']	['Q12415']
IPR009400	TFIIH subunit TTDA/Tfb5	1	['TFB5']	['Q3E7C1']
IPR013880	Yos1-like	1	['YOS1']	['Q3E834']
IPR031550	Rad61, Wapl domain	1	['RAD61']	['Q99359']
IPR013115	Histidine biosynthesis HisG, C-terminal	1	['HIS1']	['P00498']
IPR013820	ATP phosphoribosyltransferase, catalytic domain	1	['HIS1']	['P00498']
IPR033728	Threonine-tRNA ligase catalytic core domain	1	['MST1']	['P07236']
IPR006142	Intein	1	['HO']	['P09932']
IPR015820	Ty transposon capsid protein	46	['TY2A-LR2', 'TY1A-PR2', 'TY1A-JR1', 'TY1A-GR1', 'TY1A-BL', 'TY2A-OR2', 'TY1A-OL', 'TY1A-LR4', 'TY1A-PR1', 'TY2A-F', 'TY1A-ER2', 'TY1A-LR1', 'TY1A-MR2', 'TY1A-ML2', 'TY1A-JR2', 'TY1A-MR1', 'TY2A-OR1', 'TY1A-DR4', 'TY2A-LR1', 'TY1A-OR', 'TY1A-DR5', 'TY1A-ER1', 'TY1A-LR2', 'TY1A-DR1', 'TY2A-B', 'TY2A-DR1', 'TY1A-DR3', 'TY1A-PR3', 'TY1A-A', 'TY1A-DR6', 'TY1A-PL', 'TY1A-LR3', 'TY2A-DR2', 'TY1A-DR2', 'TY1A-ML1', 'TY1A-NL1', 'TY1A-GR2', 'TY1A-H', 'TY1A-H', 'TY2A-GR2', 'TY1A-GR3', 'TY2A-C', 'TY1A-BR', 'TY1A-NL2', 'TY2A-DR3', 'TY2A-GR1']	['P0C2J6', 'P0CX60', 'P0CX74', 'Q12085', 'Q12266', 'Q12293', 'Q92392', 'P0C2I8', 'P0CX58', 'P0CX61', 'P0CX66', 'P0CX68', 'P0CX69', 'P0CX76', 'P47099', 'Q04215', 'Q12439', 'O74302', 'P0C2J4', 'P0CX59', 'P0CX65', 'P0CX71', 'P0CX72', 'Q03856', 'Q12260', 'Q12392', 'Q12441', 'Q6Q5H1', 'P0CX57', 'P0CX70', 'P0CX73', 'P0CX75', 'Q03483', 'Q03964', 'Q04706', 'Q12391', 'Q12485', 'P0C2I4', 'P0C2I4', 'P0CX62', 'P0CX67', 'P25383', 'Q12217', 'Q12470', 'Q99303', 'P0C2J2']
IPR001210	Small ribosomal subunit protein eS17	2	['RPS17B', 'RPS17A']	['P14127', 'P02407']
IPR007727	Spo12	2	['SPO12', 'BNS1']	['P17123', 'P50084']
IPR007849	ATPase assembly factor ATP10	1	['ATP10']	['P18496']
IPR050357	Arrestin domain-containing protein	1	['ART10']	['P18634']
IPR003737	N-acetylglucosaminyl phosphatidylinositol deacetylase-related	1	['GPI12']	['P23797']
IPR007320	Programmed cell death protein 2, C-terminal	1	['TSR4']	['P25040']
IPR015908	Allantoicase domain	2	['DAL2', 'DAL2']	['P25335', 'P25335']
IPR007740	Large ribosomal subunit protein mL49	1	['IMG2']	['P25642']
IPR005654	ATPase, AFG1-like	1	['AFG1']	['P32317']
IPR031467	ATPase expression protein 1	1	['AEP1']	['P32493']
IPR039924	Protein ICln/Lot5/Saf5	1	['LOT5']	['P34234']
IPR044089	Magnesium transporter Alr1-like	1	['MNR2']	['P35724']
IPR019402	Frag1/DRAM/Sfk1	1	['SFK1']	['P35735']
IPR006931	Calcipressin	1	['RCN1']	['P36054']
IPR008913	Zinc finger, CHY-type	1	['HOT13']	['P36078']
IPR006683	Thioesterase domain	1	['MRX3']	['P38172']
IPR004013	PHP domain	1	['HIS2']	['P38635']
IPR002167	Solute carrier family 25 member 16-like	2	['LEU5', 'LEU5']	['P38702', 'P38702']
IPR048952	Asparagine--tRNA ligase, N-terminal domain	1	['DED81']	['P38707']
IPR016061	Proline-tRNA ligase, class II, C-terminal	1	['[]']	['P38708']
IPR003719	Phenazine biosynthesis PhzF-like	1	['YHI9']	['P38765']
IPR013332	Ketopantoate reductase, N-terminal domain	2	['PAN5', '[]']	['P38787', 'Q07589']
IPR019181	LSM12, anticodon-binding domain	1	['LSM12']	['P38828']
IPR001328	Peptidyl-tRNA hydrolase	1	['PTH1']	['P38876']
IPR008659	Yeast cell wall synthesis Kre9/Knh1, C-terminal	2	['KRE9', 'KNH1']	['P39005', 'P50112']
IPR018466	Yeast cell wall synthesis Kre9/Knh1-like, N-terminal	2	['KRE9', 'KNH1']	['P39005', 'P50112']
IPR018608	Gti1/Pac2 family	2	['MIT1', '[]']	['P40002', 'P38867']
IPR010033	HAD-superfamily phosphatase, subfamily IIIC	1	['[]']	['P40081']
IPR010487	Neugrin/Rrg9	1	['RRG9']	['P40156']
IPR001380	Large ribosomal subunit protein eL13	2	['RPL13B', 'RPL13A']	['P40212', 'Q12690']
IPR008195	Large ribosomal subunit protein eL34	2	['RPL34B', 'RPL34A']	['P40525', 'P87262']
IPR006062	Histidine biosynthesis protein	1	['HIS6']	['P40545']
IPR044435	Set3/4, SET domain	1	['SET4']	['P42948']
IPR033708	Isoleucyl tRNA synthetase type 1, anticodon-binding domain	1	['ISM1']	['P48526']
IPR017207	Mitochondrial translation factor Atp22	1	['ATP22']	['P50273']
IPR004114	THUMP domain	1	['TAN1']	['P53072']
IPR012879	PAT complex subunit CCDC47	1	['[]']	['P53723']
IPR011234	Fumarylacetoacetase-like, C-terminal	1	['FMP41']	['P53889']
IPR026231	Protein IBD2	3	['IBD2', 'IBD2', 'IBD2']	['P53892', 'P53892', 'P53892']
IPR050327	Proton-linked Monocarboxylate Transporter	1	['ESBP6']	['P53918']
IPR019328	GPI-GlcNAc transferase complex, PIG-H component, conserved domain	1	['GPI15']	['P53961']
IPR050656	PIN2/TERF1-interacting telomerase inhibitor	1	['TMA23']	['Q03525']
IPR006551	Polynucleotide 3'-phosphatase	1	['TPP1']	['Q03796']
IPR000620	EamA domain	5	['THI74', '[]', '[]', '[]', '[]']	['Q04083', 'Q04835', 'Q04835', 'Q08980', 'Q08980']
IPR009737	Thioredoxin-like ferredoxin	2	['AIM32', 'APD1']	['Q04689', 'P38281']
IPR018855	Proteasome chaperone 1, fungi	1	['PBA1']	['Q05778']
IPR024461	Coiled-coil domain-containing protein 90-like	2	['[]', 'FMP32']	['Q05867', 'P43557']
IPR031415	Required for respiratory growth protein 8, mitochondrial	1	['RRG8']	['Q06109']
IPR055010	Tag1, middle barrel-like domain	1	['[]']	['Q06247']
IPR055011	Tag1, C-terminal domain	1	['[]']	['Q06247']
IPR055012	Tag1, N-terminal domain	1	['[]']	['Q06247']
IPR012942	SRR1-like domain	1	['BER1']	['Q06688']
IPR020195	SWR1 chromatin-remodelling complex, subunit Swc7	1	['SWC7']	['Q06707']
IPR016613	Increased recombination centres protein 19	1	['IRC19']	['Q07843']
IPR000782	FAS1 domain	4	['[]', '[]', '[]', '[]']	['Q07895', 'Q07895', 'Q07895', 'Q12331']
IPR032704	Protein Cms1	1	['CMS1']	['Q07897']
IPR005317	Dipeptidyl-peptidase 3	1	['[]']	['Q08225']
IPR029228	Alkyl sulfatase dimerisation domain	1	['BDS1']	['Q08347']
IPR029229	Alkyl sulfatase, C-terminal	1	['BDS1']	['Q08347']
IPR050291	Cation Diffusion Facilitator Transporter	2	['MMT2', 'MMT1']	['Q08970', 'Q03218']
IPR030667	NEDD8-activating enzyme E1 regulatory subunit APP-BP1	1	['ULA1']	['Q12059']
IPR003140	Phospholipase/carboxylesterase/thioesterase	1	['[]']	['Q12354']
IPR013946	Nuclear control of ATP synthase 2	1	['NCA2']	['Q12374']
IPR015157	Translation machinery associated TMA7	1	['TMA7']	['Q3E764']
IPR041492	Haloacid dehalogenase-like hydrolase	1	['[]']	['Q86ZR7']
IPR023251	Pre-mRNA-splicing factor Brr1	9	['BRR1', 'BRR1', 'BRR1', 'BRR1', 'BRR1', 'BRR1', 'BRR1', 'BRR1', 'BRR1']	['Q99177', 'Q99177', 'Q99177', 'Q99177', 'Q99177', 'Q99177', 'Q99177', 'Q99177', 'Q99177']
IPR035426	Gemin2/Brr1	1	['BRR1']	['Q99177']
IPR003615	HNH nuclease	2	['AI2', 'AI1']	['P03876', 'P03875']
IPR024937	Domain X	2	['AI2', 'AI1']	['P03876', 'P03875']
IPR011613	GH15-like domain	1	['SGA1']	['P08019']
IPR001086	Prephenate dehydratase	1	['PHA2']	['P32452']
IPR049563	Tricarboxylate transport protein-like	3	['SFC1', 'CTP1', '[]']	['P33303', 'P38152', 'P43617']
IPR007881	UNC-50	1	['GMH1']	['P36125']
IPR050386	Glycosyl Hydrolase 5 (Cellulase A)	1	['[]']	['P38081']
IPR007594	RFT1	1	['RFT1']	['P38206']
IPR002528	Multi antimicrobial extrusion protein	2	['ERC1', '[]']	['P38767', 'Q05497']
IPR031403	Sbe2/Sbe22, C-terminal domain	2	['SBE22', 'SBE2']	['P38814', 'P42223']
IPR053948	SBE2/SBE22, N-terminal domain	2	['SBE22', 'SBE2']	['P38814', 'P42223']
IPR053949	SBE2/SBE22, middle domain	2	['SBE22', 'SBE2']	['P38814', 'P42223']
IPR002744	MIP18 family-like	1	['[]']	['P38829']
IPR024359	Peroxisome assembly protein 22	1	['PEX22']	['P39718']
IPR004771	K+/H+ exchanger	1	['KHA1']	['P40309']
IPR039196	ATP synthase assembly factor Fmc1, mitochondrial	1	['FMC1']	['P40491']
IPR018859	BAR domain-containing family	2	['GVP36', '[]']	['P40531', 'Q06523']
IPR003734	Domain of unknown function DUF155	3	['RMD8', 'RMD1', 'MRX10']	['P43620', 'Q03441', 'Q05648']
IPR018814	Protein of unknown function DUF5427	1	['MTC1']	['P47018']
IPR003779	Carboxymuconolactone decarboxylase-like	1	['PXP2']	['P47148']
IPR019193	Ubiquitin-conjugating enzyme E2-binding protein	1	['[]']	['P47172']
IPR026030	Purine-cytosine permease Fcy2/21/22	1	['TPN1']	['P53099']
IPR019369	Protein-lysine N-methyltransferase Efm5/EEF1AKMT1	1	['EFM5']	['P53200']
IPR053102	Vacuolar Protein Sorting-Associated	2	['VPS62', 'TDA6']	['P53285', 'Q06466']
IPR044399	Myoglobin-like, M family globin domain	1	['[]']	['P53857']
IPR047867	Large ribosomal subunit protein uL22, bacterial/organelle-type	1	['MRPL22']	['P53881']
IPR021216	Protein of unknown function DUF2722	1	['BOP3']	['P53958']
IPR018793	Cytochrome c oxidase assembly protein PET191	1	['PET191']	['Q02772']
IPR025210	ATP25 mRNA stabilisation domain	1	['ATP25']	['Q03153']
IPR019605	Misato Segment II tubulin-like domain	1	['DML1']	['Q03652']
IPR029209	DML1/Misato, tubulin domain	1	['DML1']	['Q03652']
IPR012935	NuBaID, N-terminal domain	1	['PML39']	['Q03760']
IPR013945	V-type ATPase assembly factor Pkr1	1	['PKR1']	['Q03880']
IPR031731	IMS import disulfide relay-system, CHCH-CHCH-like Cx9C	2	['MIX14', 'MIX14']	['Q04341', 'Q04341']
IPR018820	Brefeldin A sensitivity protein-related, domain of unknown function DUF2421	1	['BRE4']	['Q07660']
IPR042238	DNA excision repair protein Rad28/ERCC8/Ckn1/ATCSA-1	1	['RAD28']	['Q12021']
IPR043476	Yro2-like, 7TM domain	3	['MRH1', 'HSP30', 'YRO2']	['Q12117', 'P25619', 'P38079']
IPR004788	Ribose 5-phosphate isomerase, type A	1	['RKI1']	['Q12189']
